13                                                                                                  ,Sauron                                                                                              ,JACKSON                                                                                             ,           55,            11,          30,male                                                                                                ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Rivendell                                                                                           ,Rivendell                                                                                           ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1859,The Art of Fun-Having                                                                               ,MS
14                                                                                                  ,Aragorn                                                                                             ,WHITE                                                                                               ,          192,             6,          18,male                                                                                                ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Pelargir                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,                                                                                                    ,            ,                                                                                                    ,
15                                                                                                  ,Meriadoc                                                                                            ,MARTINEZ                                                                                            ,          491,             3,          29,male                                                                                                ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1837,Plant Biology                                                                                       ,BS
15                                                                                                  ,Meriadoc                                                                                            ,MARTINEZ                                                                                            ,          491,             3,          29,male                                                                                                ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1976,Cell Biology                                                                                        ,BA
15                                                                                                  ,Meriadoc                                                                                            ,MARTINEZ                                                                                            ,          491,             3,          29,male                                                                                                ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1887,The Art of Fun-Having                                                                               ,BA
16                                                                                                  ,Sarah                                                                                               ,JOHNSON                                                                                             ,          237,            11,          13,female                                                                                              ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1896,ECE                                                                                                 ,MA
16                                                                                                  ,Sarah                                                                                               ,JOHNSON                                                                                             ,          237,            11,          13,female                                                                                              ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1879,BME                                                                                                 ,MS
16                                                                                                  ,Sarah                                                                                               ,JOHNSON                                                                                             ,          237,            11,          13,female                                                                                              ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1885,Cell Biology                                                                                        ,MSE
17                                                                                                  ,Sauron                                                                                              ,THOMAS                                                                                              ,          870,             2,           5,male                                                                                                ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1935,Microbiology                                                                                        ,MSE
17                                                                                                  ,Sauron                                                                                              ,THOMAS                                                                                              ,          870,             2,           5,male                                                                                                ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1820,Material Science                                                                                    ,BS
17                                                                                                  ,Sauron                                                                                              ,THOMAS                                                                                              ,          870,             2,           5,male                                                                                                ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1857,Physics                                                                                             ,BS
